,userId,movieId,title,genres,rating
31081,149,1221,"Godfather: Part II, The (1974)",Crime|Drama,5.0
31741,149,1234,"Sting, The (1973)",Comedy|Crime,5.0
31807,149,1235,Harold and Maude (1971),Comedy|Drama|Romance,5.0
31908,149,1240,"Terminator, The (1984)",Action|Sci-Fi|Thriller,5.0
32228,149,1246,Dead Poets Society (1989),Drama,4.0
32727,149,1257,Better Off Dead... (1985),Comedy|Romance,4.0
32876,149,1259,Stand by Me (1986),Adventure|Drama,5.0
33029,149,1262,"Great Escape, The (1963)",Action|Adventure|Drama|War,4.0
33181,149,1265,Groundhog Day (1993),Comedy|Fantasy|Romance,5.0
33446,149,1269,Arsenic and Old Lace (1944),Comedy|Mystery|Thriller,4.0
33514,149,1270,Back to the Future (1985),Adventure|Comedy|Sci-Fi,4.0
33851,149,1275,Highlander (1986),Action|Adventure|Fantasy,3.0
33917,149,1276,Cool Hand Luke (1967),Drama,5.0
34253,149,1285,Heathers (1989),Comedy,4.0
34369,149,1288,This Is Spinal Tap (1984),Comedy,5.0
34481,149,1291,Indiana Jones and the Last Crusade (1989),Action|Adventure,5.0
34619,149,1292,Being There (1979),Comedy|Drama,5.0
34648,149,1293,Gandhi (1982),Drama,5.0
34808,149,1299,"Killing Fields, The (1984)",Drama|War,5.0
34883,149,1302,Field of Dreams (1989),Children|Drama|Fantasy,5.0
34971,149,1304,Butch Cassidy and the Sundance Kid (1969),Action|Western,5.0
36701,149,1387,Jaws (1975),Action|Horror,5.0
36837,149,1391,Mars Attacks! (1996),Action|Comedy|Sci-Fi,3.0
36950,149,1393,Jerry Maguire (1996),Drama|Romance,5.0
37882,149,1466,Donnie Brasco (1997),Crime|Drama,5.0
38567,149,1527,"Fifth Element, The (1997)",Action|Adventure|Comedy|Sci-Fi,3.0
38755,149,1544,"Lost World: Jurassic Park, The (1997)",Action|Adventure|Sci-Fi|Thriller,2.0
38944,149,1562,Batman & Robin (1997),Action|Adventure|Fantasy|Thriller,3.0
40395,149,1639,Chasing Amy (1997),Comedy|Drama|Romance,5.0
